Feijenoord;;;;;;;


Diefstal;;;;;;;
;;buurtprobleem fietsendiefstal;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Kop van Zuid Entrepot;21,5;17,3;17,1;15;12,3
;;Vreewijk;21;18,4;17,2;18,1;15,7
;;Bloemhof;22,1;20,1;21,9;23,5;26,8
;;Hillesluis;18,3;19,2;22,7;19,9;20,3
;;Katendrecht;22,8;15,9;24,6;10,4;7,9
;;Afrikaanderwijk;19,4;14,7;20,1;22,8;17,2
;;Feijenoord;12,6;28,6;21,7;22,5;21
;;Noordereiland;21,2;12,4;17,7;20,7;12,5
;;Feijenoord;19,8;18,9;20,6;20,2;18,3
;;Rotterdam;18,7;18,2;20;18,5;18,2

;;buurtprobleem diefstal uit de auto;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Kop van Zuid Entrepot;23,7;21,4;24,3;15,2;15,1
;;Vreewijk;21,3;20,6;18,1;19,4;16,6
;;Bloemhof;27;25,5;24,3;21,3;25,2
;;Hillesluis;19,2;19,8;22,2;16,7;19,4
;;Katendrecht;22,6;11,9;15,6;14,7;6,8
;;Afrikaanderwijk;21,4;18;17;23,3;14,8
;;Feijenoord;13,3;11,4;16,3;17,4;16,5
;;Noordereiland;14,8;10,2;12,5;12,5;8,6
;;Feijenoord;21,2;19,1;19,3;18,7;17,2
;;Rotterdam;16,6;15,8;15,4;15,7;14,1

;;buurtprobleem beschadiging aan of diefstal vanaf de auto;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Kop van Zuid Entrepot;19,2;14,4;21,7;14,8;16,6
;;Vreewijk;21;21,4;20,1;25,2;25,4
;;Bloemhof;25,9;28,3;27,8;32;27,5
;;Hillesluis;20,1;22,1;29,8;21,4;26,3
;;Katendrecht;23,4;10,6;15,8;14,3;8,8
;;Afrikaanderwijk;25,7;24,1;20,3;23,8;18
;;Feijenoord;11,9;18,4;22,5;18,9;23,4
;;Noordereiland;10,2;8,7;13,9;14;12,4
;;Feijenoord;20,8;20,9;23,2;22,9;22,1
;;Rotterdam;16,9;16,8;18,2;18,2;17,2

;;slachtofferschap autodiefstal;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Kop van Zuid Entrepot;0;0;2,4;0,7;1,3
;;Vreewijk;1;0;0;1,1;0,3
;;Bloemhof;0,7;2,2;1,5;1,3;0,9
;;Hillesluis;1;0,7;0,7;1,4;1
;;Katendrecht;0,7;0;0;2,7;0
;;Afrikaanderwijk;1,3;1,6;1,3;0;0
;;Feijenoord;0;0;2,2;1,2;0
;;Noordereiland;0,7;0,9;0;1,2;0,7
;;Feijenoord;0,7;0,8;1,1;1,1;0,6
