Hoogvliet;;;;;;;


Diefstal;;;;;;;
;;buurtprobleem fietsendiefstal;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Hoogvliet Noord;11,9;9;18,5;15,7;12,6
;;Hoogvliet Zuid;8,9;11,1;21,1;14,3;14,7
;;Hoogvliet;10,1;10,3;20,1;14,8;13,9
;;Rotterdam;18,7;18,2;20;18,5;18,2

;;buurtprobleem diefstal uit de auto;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Hoogvliet Noord;10,2;9,7;13,7;10,4;7,1
;;Hoogvliet Zuid;9,6;6,1;9,4;6,8;9,6
;;Hoogvliet;9,8;7,5;11;8,2;8,7
;;Rotterdam;16,6;15,8;15,4;15,7;14,1

;;buurtprobleem beschadiging aan of diefstal vanaf de auto;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Hoogvliet Noord;10,2;12,3;19;14,7;11,3
;;Hoogvliet Zuid;14,3;7,8;15,2;11,4;14,1
;;Hoogvliet;12,7;9,5;16,7;12,7;13,1
;;Rotterdam;16,9;16,8;18,2;18,2;17,2

;;slachtofferschap autodiefstal;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Hoogvliet Noord;0,6;0;0,8;0,4;0
;;Hoogvliet Zuid;0;0;1,6;0;0
;;Hoogvliet;0,2;0;1,3;0,1;0
;;Rotterdam;0,7;0,5;1,2;1;0,6

;;slachtofferschap diefstal uit de auto;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Hoogvliet Noord;3,6;6,1;4,5;1,6;2,9
;;Hoogvliet Zuid;4,4;2,8;1,8;0,9;3,5
;;Hoogvliet;4;4;2,8;1,1;3,3
;;Rotterdam;7,1;6,8;5,8;4,9;4

;;slachtofferschap diefstal vanaf de auto;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Hoogvliet Noord;16,6;26,2;23,4;11,8;12
;;Hoogvliet Zuid;12,6;19,8;18,6;12,2;13,6
;;Hoogvliet;14,1;22,1;20,5;12,1;13
;;Rotterdam;29,6;30,5;25,2;15,7;14,7

;;slachtofferschap fietsendiefstal;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011;;;;;
;;Hoogvliet Noord;6;3,3;4,6;4;1,9;;;;;
;;Hoogvliet Zuid;3,5;4;5,5;2,8;3,2;;;;;
;;Hoogvliet;4,4;3,7;5,2;3,2;2,7;;;;;
;;Rotterdam;5,3;5,2;9,1;3,9;5;;;;;

;;slachtofferschap overige diefstal;;;;;;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011;;;;;
;;Hoogvliet Noord;0,6;1,9;2,5;3,3;2,6;;;;;
;;Hoogvliet Zuid;1,2;3,4;3,7;2;3,6;;;;;
;;Hoogvliet;0,9;2,9;3,2;2,5;3,2;;;;;
;;Rotterdam;2,6;3,7;3,3;3;3,2;;;;;

;;1.2.1 aangiften diefstal uit/vanaf motorvoertuigen;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoogvliet Noord;188;152;102;91;103;13,8;11,6;7,7;6,9;8,2
;;Hoogvliet Zuid;183;176;127;145;249;8,6;8,2;5,9;6,7;11,6
;;Hoogvliet;371;328;229;236;352;10,7;9,4;6,6;6,8;10,3
;;Rotterdam;9249;8086;9744;8917;7615;15,8;13,9;16,8;15,3;12,8

;;1.2.2 aangiften diefstal van motorvoertuigen;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoogvliet Noord;30;24;21;23;22;2,2;1,8;1,6;1,7;1,7
;;Hoogvliet Zuid;13;20;24;25;18;0,6;0,9;1,1;1,2;0,8
;;Hoogvliet;43;44;45;48;40;1,2;1,3;1,3;1,4;1,2
;;Rotterdam;1679;1423;1323;1411;1173;2,9;2,4;2,3;2,4;2

;;1.2.3 aangiften diefstal van brom-, snor-, fietsen;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoogvliet Noord;74;73;100;82;69;5,4;5,6;7,5;6,2;5,5
;;Hoogvliet Zuid;159;157;239;229;276;7,5;7,3;11;10,6;12,9
;;Hoogvliet;233;230;339;311;345;6,7;6,6;9,7;8,9;10,1
;;Rotterdam;3983;3982;4927;4108;4438;6,8;6,8;8,5;7;7,5

;;1.2.4 aangiften zakkenrollerij;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoogvliet Noord;5;6;2;2;8;0,4;0,5;0,2;0,2;0,6
;;Hoogvliet Zuid;31;21;51;71;95;1,5;1;2,4;3,3;4,4
;;Hoogvliet;36;27;53;73;103;1;0,8;1,5;2,1;3
;;Rotterdam;2456;2570;2564;1996;2138;4,2;4,4;4,4;3,4;3,6

;;1.2.5 aangiften diefstal af/uit/van overige voertuigen;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoogvliet Noord;31;33;24;11;12;2,3;2,5;1,8;0,8;1
;;Hoogvliet Zuid;15;29;36;19;15;0,7;1,3;1,7;0,9;0,7
;;Hoogvliet;46;62;60;30;27;1,3;1,8;1,7;0,9;0,8
;;Rotterdam;682;850;834;780;729;1,2;1,5;1,4;1,3;1,2

;;2.5.2 aangiften winkeldiefstal;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoogvliet Noord;4;1;7;12;6;80;6,4;44,3;73,6;36,8
;;Hoogvliet Zuid;34;39;28;34;16;215,2;222,9;166,7;213,8;96,4
;;Hoogvliet;38;40;35;46;22;182,7;120,8;107,4;142,9;66,9
;;Rotterdam;1377;1227;1004;1050;775;263,1;178,9;147,7;156,6;122

;;1.6.2 aangiften overige vermogensdelicten;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoogvliet Noord;81;86;116;108;121;6;6,6;8,7;8,2;9,6
;;Hoogvliet Zuid;158;166;177;159;188;7,4;7,7;8,2;7,3;8,8
;;Hoogvliet;239;252;293;267;309;6,9;7,3;8,4;7,6;9,1
;;Rotterdam;6743;6410;6346;6196;7209;11,5;11;10,9;10,6;12,1

Drugsoverlast;;;;;;;;;;;;

;;buurtprobleem drugsoverlast;;;;;;;;;;
;;% vaak;2006;2007;2008;2009;2011;;;;;
;;Hoogvliet Noord;2,3;2,6;10,3;6,3;9,8;;;;;
;;Hoogvliet Zuid;2,7;2,8;5,4;6,2;6;;;;;
;;Hoogvliet;2,5;2,7;7,3;6,2;7,4;;;;;
;;Rotterdam;8,2;6,7;9,9;10,2;10,1;;;;;

;;2.1.1 meldingen drugsoverlast;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;% vaak;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoogvliet Noord;6;16;17;10;10;0,4;1,2;1,3;0,8;0,8
;;Hoogvliet Zuid;6;16;17;14;10;0,3;0,7;0,8;0,6;0,5
;;Hoogvliet;12;32;34;24;20;0,3;0,9;1;0,7;0,6
;;Rotterdam;1242;1135;1071;1022;726;2,1;2;1,8;1,7;1,2

Geweld;;;;;;;;;;;;

;;buurtprobleem bedreiging;;;;;;;;;;
;;% vaak;2006;2007;2008;2009;2011;;;;;
;;Hoogvliet Noord;2,3;1,3;2,7;5,5;5,3;;;;;
;;Hoogvliet Zuid;1,9;0;2,2;4,8;4,9;;;;;
;;Hoogvliet;2,1;0,5;2,4;5;5,1;;;;;
;;Rotterdam;3,3;3,1;4,5;4,8;5,8;;;;;

;;buurtprobleem geweldsdelicten;;;;;;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Hoogvliet Noord;0,6;1,9;1;4,6;5,6
;;Hoogvliet Zuid;1,5;0;2,5;3,7;2,2
;;Hoogvliet;1,2;0,7;1,9;4,1;3,5
;;Rotterdam;3,9;3,7;4,6;4,7;5,9

;;buurtprobleem tasjesroof;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Hoogvliet Noord;0,6;0,7;2;2,2;1,8
;;Hoogvliet Zuid;1,5;1,1;2,7;1,4;0,9
;;Hoogvliet;1,2;0,9;2,5;1,7;1,2
;;Rotterdam;3,2;2,8;3,4;3;3,4

;;slachtofferschap tasjesroof met geweld;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Hoogvliet Noord;0,6;0;0;0;0
;;Hoogvliet Zuid;0;0;0;0;0
;;Hoogvliet;0,2;0;0;0;0
;;Rotterdam;0,5;0,5;0,3;0,2;0,2

;;slachtofferschap tasjesroof zonder geweld;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Hoogvliet Noord;0,6;2,6;1;0,5;1,2
;;Hoogvliet Zuid;0;0;0,3;0,7;1,2
;;Hoogvliet;0,2;1;0,6;0,6;1,2
;;Rotterdam;1,3;1,3;1,3;1,2;1,2

;;slachtofferschap bedreiging met geweld;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Hoogvliet Noord;1,1;2,6;2,2;3;4,7
;;Hoogvliet Zuid;1,3;0;2,6;3,8;1,4
;;Hoogvliet;1,2;1;2,4;3,2;2,6
;;Rotterdam;2,8;2,6;2,8;2,9;3,1;;;;;

;;slachtofferschap mishandeling;;;;;;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011;;;;;
;;Hoogvliet Noord;0,6;1,3;0,6;0,6;0,7;;;;;
;;Hoogvliet Zuid;0,5;0;0,5;0;0,3;;;;;
;;Hoogvliet;0,5;0,5;0,5;0,2;0,4;;;;;
;;Rotterdam;0,4;0,5;0,8;0,4;0,8;;;;;

;;1.4.1 aangiften zedenmisdrijven;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoogvliet Noord;6;7;6;11;2;0,4;0,5;0,5;0,8;0,2
;;Hoogvliet Zuid;13;13;19;6;2;0,6;0,6;0,9;0,3;0,1
;;Hoogvliet;19;20;25;17;4;0,5;0,6;0,7;0,5;0,1
;;Rotterdam;474;433;376;352;236;0,8;0,7;0,6;0,6;0,4

;;1.4.3 aangiften openlijke geweldpleging tegen personen;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoogvliet Noord;5;4;6;12;3;0,4;0,3;0,5;0,9;0,2
;;Hoogvliet Zuid;11;14;14;14;5;0,5;0,7;0,6;0,6;0,2
;;Hoogvliet;16;18;20;26;8;0,5;0,5;0,6;0,7;0,2
;;Rotterdam;637;700;621;620;508;1,1;1,2;1,1;1,1;0,9

;;1.4.6 aangiften straatroof;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoogvliet Noord;7;7;7;9;12;0,5;0,5;0,5;0,7;1
;;Hoogvliet Zuid;26;14;29;30;27;1,2;0,7;1,3;1,4;1,3
;;Hoogvliet;33;21;36;39;39;0,9;0,6;1;1,1;1,1
;;Rotterdam;1484;1262;1161;992;1018;2,5;2,2;2;1,7;1,7

;;1.4.7 aangiften overval;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoogvliet Noord;0;6;4;7;7;0;0,5;0,3;0,5;0,6
;;Hoogvliet Zuid;5;1;6;16;2;0,2;0;0,3;0,7;0,1
;;Hoogvliet;5;7;10;23;9;0,1;0,2;0,3;0,7;0,3
;;Rotterdam;212;245;304;295;235;0,4;0,4;0,5;0,5;0,4

;;1.4.4 meldingen bedreiging;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoogvliet Noord;38;24;25;28;16;2,8;1,8;1,9;2,1;1,3
;;Hoogvliet Zuid;41;35;37;33;27;1,9;1,6;1,7;1,5;1,3
;;Hoogvliet;79;59;62;61;43;2,3;1,7;1,8;1,7;1,3
;;Rotterdam;1723;1742;1591;1488;1287;2,9;3;2,7;2,5;2,2

;;1.4.5 meldingen mishandeling;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoogvliet Noord;146;165;183;170;142;10,7;12,6;13,8;12,8;11,3
;;Hoogvliet Zuid;206;225;242;217;193;9,7;10,4;11,2;10;9
;;Hoogvliet;352;390;425;387;335;10,1;11,2;12,2;11,1;9,8
;;Rotterdam;10335;10639;10667;10882;9915;17,6;18,3;18,4;18,6;16,7

Inbraak;;;;;;;;;;;;

;;buurtprobleem woninginbraak;;;;;;;;;;
;;% vaak;2006;2007;2008;2009;2011;;;;;
;;Hoogvliet Noord;11,9;9,6;8,2;7,7;6;;;;;
;;Hoogvliet Zuid;11,3;5,6;12,7;6,5;10,5;;;;;
;;Hoogvliet;11,6;7,1;11;6,9;8,8;;;;;
;;Rotterdam;12,9;12;12,1;11,1;13,5

;;slachtofferschap poging tot inbraak;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Hoogvliet Noord;4,5;4,5;3,4;1,1;1,1
;;Hoogvliet Zuid;2,3;1,7;3,3;2;1,7
;;Hoogvliet;3,2;2,7;3,3;1,7;1,5
;;Rotterdam;3,5;3,1;3;2,5;2,8

;;slachtofferschap woninginbraak;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Hoogvliet Noord;1,1;1,3;2,5;1,5;0,8
;;Hoogvliet Zuid;1,3;1,7;3,5;1,3;0,6
;;Hoogvliet;1,2;1,5;3,1;1,3;0,7
;;Rotterdam;2;2;2;1,4;1,3

;;1.1.1 aangiften woninginbraak;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoogvliet Noord;103;67;103;68;78;18,5;12,3;18,7;12,3;14,8
;;Hoogvliet Zuid;140;124;111;84;161;15;13;11,5;8,7;16,6
;;Hoogvliet;243;191;214;152;239;16,3;12,8;14,2;10;16
;;Rotterdam;4420;3779;4018;3756;3787;16,4;14;14,9;13,8;13,7

;;1.1.2 aangiften inbraak in garages, schuren en tuinhuizen;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoogvliet Noord;62;46;24;26;12;11,2;8,5;4,4;4,7;2,3
;;Hoogvliet Zuid;38;44;41;34;31;4,1;4,6;4,3;3,5;3,2
;;Hoogvliet;100;90;65;60;43;6,7;6;4,3;3,9;2,9
;;Rotterdam;2629;1881;1746;1595;1295;9,8;7;6,5;5,8;4,7

;;2.5.1 aangiften inbraak in bedrijven/instellingen;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoogvliet Noord;92;67;90;74;23;192,5;129,8;171,4;137,3;40
;;Hoogvliet Zuid;80;67;104;61;32;182,6;153,3;229,1;131,2;64,3
;;Hoogvliet;172;134;194;135;55;187,8;140,6;198,2;134,5;51,3
;;Rotterdam;2730;2271;1957;1947;1237;132,4;108,7;90,9;89,2;55,2

Vandalisme;;;;;;;;;;;;

;;buurtprobleem bekladding muren/gebouwen;;;;;;;;;;
;;% vaak;2006;2007;2008;2009;2011;;;;;
;;Hoogvliet Noord;6,3;14,1;17,7;13,5;11,1;;;;;
;;Hoogvliet Zuid;10,2;10,6;17,8;12,1;11,1;;;;;
;;Hoogvliet;8,7;11,9;17,8;12,6;11,1;;;;;
;;Rotterdam;14,3;14,9;18,7;17;13,9;;;;;

;;buurtprobleem vernieling telefooncellen/bus- of tramhokjes ;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Hoogvliet Noord;9,7;15,5;16,5;13,3;11,5
;;Hoogvliet Zuid;25,2;19,6;35,3;33;16,2
;;Hoogvliet;19,1;18;28,1;25,6;14,5
;;Rotterdam;18,6;17,7;19,4;16,2;11,8

;;slachtofferschap overige beschadiging/vernieling;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Hoogvliet Noord;2,2;3,2;8,1;6;4,5
;;Hoogvliet Zuid;0,8;2,8;5,8;4;5,6
;;Hoogvliet;1,3;3;6,7;4,8;5,2
;;Rotterdam;3,7;2,7;8,1;7,3;6,5

;;2.2.1 meldingen vernieling cq zaakbeschadiging;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoogvliet Noord;103;101;92;52;47;7,6;7,7;6,9;3,9;3,7
;;Hoogvliet Zuid;150;156;169;113;74;7,1;7,2;7,8;5,2;3,4
;;Hoogvliet;253;257;261;165;121;7,3;7,4;7,5;4,7;3,6
;;Rotterdam;3972;3999;3803;3203;2376;6,8;6,9;6,6;5,5;4

;;meldingen kleine buitenbranden;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoogvliet Noord;13;19;19;31;6;0,2;0,4;0,4;0,6;0,1
;;Hoogvliet Zuid;14;35;13;13;16;0,3;0,7;0,2;0,2;0,3
;;Hoogvliet;27;54;32;44;22;0,3;0,5;0,3;0,4;0,2
;;Rotterdam;967;970;900;849;556;0,7;0,7;0,7;0,6;0,4

Overlast;;;;;;;;;;;;

;;buurtprobleem overlast van groepen jongeren;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Hoogvliet Noord;5,1;12,3;13,8;15,1;14,2
;;Hoogvliet Zuid;12,7;10,6;14,9;13,7;16,2
;;Hoogvliet;9,7;11,2;14,5;14,3;15,5
;;Rotterdam;14,3;14;19,1;20,1;20

;;buurtprobleem dronken mensen op straat;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Hoogvliet Noord;2,3;1,3;4,7;6;5,2
;;Hoogvliet Zuid;1,9;1,1;5,3;2,9;6,9
;;Hoogvliet;2,1;1,2;5;4,1;6,3
;;Rotterdam;5,4;5;8,7;10,5;11,1

;;buurtprobleem lastig gevallen worden op straat;;;;;
;;% vaak;2006;2007;2008;2009;2011;;;;;
;;Hoogvliet Noord;1,7;1,3;3,4;3,4;2,6;;;;;
;;Hoogvliet Zuid;1,4;2,2;3,9;2,7;4,7;;;;;
;;Hoogvliet;1,5;1,9;3,7;3;3,9;;;;;
;;Rotterdam;3,1;2,6;5,6;6,2;6,4;;;;;

;;2.4.1 meldingen burengerucht (relatieproblemen);;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoogvliet Noord;360;328;332;320;289;26,5;25;25;24,2;23
;;Hoogvliet Zuid;415;463;444;420;418;19,5;21,4;20,5;19,4;19,5
;;Hoogvliet;775;791;776;740;707;22,3;22,8;22,2;21,2;20,8
;;Rotterdam;15483;15318;16151;16936;16299;26,4;26,3;27,8;29;27,4

;;2.7.1 meldingen overlast;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoogvliet Noord;353;253;221;203;125;26;19,3;16,7;15,3;9,9
;;Hoogvliet Zuid;423;367;378;433;251;19,9;17;17,5;20;11,7
;;Hoogvliet;776;620;599;636;376;22,3;17,9;17,2;18,2;11
;;Rotterdam;11983;10454;9484;9740;8323;20,4;18;16,3;16,7;14

Schoon en heel;;;;;;;;;;;;

;;buurtprobleem vervuiling op straat;;;;;;;;;;
;;% vaak;2006;2007;2008;2009;2011;;;;;
;;Hoogvliet Noord;21,1;21,8;31,8;34,3;25,2;;;;;
;;Hoogvliet Zuid;23,1;20;29,2;29;26,4;;;;;
;;Hoogvliet;22,3;20,7;30,2;31;26;;;;;
;;Rotterdam;33,8;32,9;36,3;36;33,9;;;;;

