Overschie;;;;;;;


Diefstal;;;;;;;
;;buurtprobleem fietsendiefstal;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Kleinpolder;11,6;17,4;14,7;16,2;19,6
;;Overschie eo;5,1;12;11,5;13,2;16,5
;;Overschie;8,1;13,4;13;14,6;17,9
;;Rotterdam;18,7;18,2;20;18,5;18,2

;;buurtprobleem diefstal uit de auto;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Kleinpolder;11,1;16,7;15,4;25,4;17,2
;;Overschie eo;8,4;9,4;10,8;18;13,3
;;Overschie;9,7;12,3;12,9;21,4;15,1
;;Rotterdam;16,6;15,8;15,4;15,7;14,1

;;buurtprobleem beschadiging aan of diefstal vanaf de auto;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Kleinpolder;11,1;17,3;19,6;22,7;18,1
;;Overschie eo;17,2;15,1;13,6;21;18,3
;;Overschie;14,3;16,1;16,4;21,8;18,2
;;Rotterdam;16,9;16,8;18,2;18,2;17,2

;;slachtofferschap autodiefstal;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Kleinpolder;1,8;0,9;2,2;2,4;0,5
;;Overschie eo;0;0;0,7;1,6;0,4
;;Overschie;0,7;0,3;1,3;1,9;0,5
;;Rotterdam;0,7;0,5;1,2;1;0,6

;;slachtofferschap diefstal uit de auto;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Kleinpolder;5,4;9,2;4,5;7,7;5,3
;;Overschie eo;5,3;4,7;4,1;2,5;3,2
;;Overschie;5,2;6,3;4,3;4,6;4
;;Rotterdam;7,1;6,8;5,8;4,9;4

;;slachtofferschap diefstal vanaf de auto;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Kleinpolder;27;37,6;11,8;15,7;15,4
;;Overschie eo;15,8;23,5;18;16,1;13,4
;;Overschie;19,9;28,4;15,4;16;14,2
;;Rotterdam;29,6;30,5;25,2;15,7;14,7

;;slachtofferschap fietsendiefstal;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011;;;;;
;;Kleinpolder;1,5;5,6;4,7;2,6;2,3;;;;;
;;Overschie eo;0,3;2,1;4,6;2,7;3,1;;;;;
;;Overschie;0,7;3,4;4,7;2,6;2,8;;;;;
;;Rotterdam;5,3;5,2;9,1;3,9;5;;;;;

;;slachtofferschap overige diefstal;;;;;;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011;;;;;
;;Kleinpolder;2,2;1,3;2,5;2,6;4,6;;;;;
;;Overschie eo;1,7;2,5;2,3;4,3;3,1;;;;;
;;Overschie;1,9;2,2;2,4;3,5;3,8;;;;;
;;Rotterdam;2,6;3,7;3,3;3;3,2;;;;;

;;1.2.1 aangiften diefstal uit/vanaf motorvoertuigen;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Kleinpolder;100;92;111;136;103;13,7;12,7;15,2;18,7;14,2
;;Overschie eo;155;110;177;151;130;18;12,9;20,9;17,5;15
;;Overschie;255;202;288;287;233;16;12,8;18,3;18,1;14,6
;;Rotterdam;9249;8086;9744;8917;7615;15,8;13,9;16,8;15,3;12,8

;;1.2.2 aangiften diefstal van motorvoertuigen;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Kleinpolder;22;16;30;18;25;3;2,2;4,1;2,5;3,4
;;Overschie eo;14;21;25;30;28;1,6;2,5;2,9;3,5;3,2
;;Overschie;36;37;55;48;53;2,3;2,3;3,5;3;3,3
;;Rotterdam;1679;1423;1323;1411;1173;2,9;2,4;2,3;2,4;2

;;1.2.3 aangiften diefstal van brom-, snor-, fietsen;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Kleinpolder;41;28;30;26;39;5,6;3,9;4,1;3,6;5,4
;;Overschie eo;44;27;32;25;43;5,1;3,2;3,8;2,9;5
;;Overschie;85;55;62;51;82;5,3;3,5;3,9;3,2;5,1
;;Rotterdam;3983;3982;4927;4108;4438;6,8;6,8;8,5;7;7,5

;;1.2.4 aangiften zakkenrollerij;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Kleinpolder;9;7;6;7;8;1,2;1;0,8;1;1,1
